"prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max"
0.4,540,270,0.12,2.25,0.000761011,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,91,0.76,30,0.28,3.83561644e-06,1.84109589e-05
0.4,540,270,0.12,2.25,0.0006481898,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,91,0.76,30,0.28,3.83561644e-06,1.84109589e-05
0.4,540,270,0.12,2.25,0.0006481898,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,91,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,540,270,0.12,2.25,0.0006481898,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.12,2.25,0.0006481898,0.0001979696,0.158,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.12,2.25,0.0006481898,0.0001979696,0.266,0.64,0.79,0.704,0.29,0.112,0.000107657824,0.000620577,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.12,2.25,0.0006481898,0.0001979696,0.266,0.64,0.79,0.704,0.29,0.112,0.000130722412,0.000620577,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.12,2.25,0.0006481898,0.0001979696,0.266,0.64,0.79,0.704,0.29,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.25,0.0006481898,0.0001979696,0.266,0.64,0.79,0.704,0.29,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.25,0.0006481898,0.0001979696,0.266,0.64,0.672,0.704,0.29,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.28,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.25,0.0006481898,0.0001979696,0.266,0.64,0.672,0.704,0.29,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001979696,0.266,0.64,0.672,0.704,0.29,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001979696,0.266,0.64,0.672,0.704,0.256,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001979696,0.266,0.64,0.672,0.578,0.256,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.112,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.76,97,0.44,3.83561644e-06,1.84109589e-05
0.4,444,270,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.76,97,0.44,4.438356166e-06,1.84109589e-05
0.34,444,270,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.76,97,0.44,4.438356166e-06,1.84109589e-05
0.34,444,270,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.92,97,0.44,4.438356166e-06,1.84109589e-05
0.34,444,217.4,0.1,2.95,0.0006481898,0.0001255938,0.266,0.64,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.92,97,0.44,4.438356166e-06,1.84109589e-05
0.34,444,217.4,0.1,2.95,0.0006481898,0.0001255938,0.266,0.75,0.672,0.578,0.256,0.098,0.000130722412,0.0005262698,55.4,0.92,97,0.44,4.438356166e-06,1.84109589e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0001617817,0.158,0.64,0.672,0.515,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,30,0.84,3.83561644e-06,2.1304109586e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0002341575,0.158,0.64,0.672,0.515,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,30,0.84,3.83561644e-06,2.1304109586e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0002341575,0.158,0.64,0.672,0.515,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,30,0.84,3.83561644e-06,2.4197260272e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0002341575,0.158,0.64,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,30,0.84,3.83561644e-06,2.4197260272e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0002341575,0.158,0.64,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,60,59.6,0.07,1.2,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,60,59.6,0.05,1.2,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,156,59.6,0.05,1.2,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,156,59.6,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.091,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,156,59.6,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.000620577,144.4,0.2,97,0.84,3.83561644e-06,2.4197260272e-05
0.22,156,59.6,0.05,1.9,0.0009302428,0.0002341575,0.158,0.75,0.672,0.641,0.205,0.077,8.4593236e-05,0.000620577,144.4,0.2,97,0.68,3.83561644e-06,2.4197260272e-05
