"design","prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max","avg_incidence_10yr","avg_prevalence_10yr","avg_incidence_5yr","avg_prevalence_5yr"
137,0.25,348,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.76,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.49566736317456,13.2908092237443,1.47455639524462,12.8209470319635
138,0.19,348,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.76,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.60552940911227,13.9723230136986,1.56915317106513,13.5939024657534
139,0.19,348,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.077,8.4593236e-05,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.55812651002397,13.6878714155251,1.53425234500913,13.2006536986301
140,0.19,348,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.091,8.4593236e-05,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.74633293502927,14.9294652054795,1.70588240308262,14.5560701369863
141,0.19,348,191.1,0.08,1.2,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,1.77451226076577,15.0493471232877,1.74696428701625,14.7007629223744
142,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.374,0.695,0.672,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,2.02900962862906,16.2756165296804,2.01393177315342,16.085257716895
143,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.374,0.695,0.79,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,2.01465827947301,16.27692,1.99743624166879,16.0763119634703
144,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.266,0.695,0.79,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,4.438356166e-06,2.1304109586e-05,2.05081179068239,16.4653646575342,2.03185702739211,16.2714173515982
145,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.266,0.695,0.79,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.03167148649438,16.2344557077626,2.02585734127401,16.0465731506849
146,0.19,348,191.1,0.08,0.5,0.0007046004,0.000415097,0.266,0.585,0.79,0.515,0.205,0.091,0.000107657824,0.0005262698,2,0.6,264.5,0.2,5.041095892e-06,2.1304109586e-05,2.15179434150403,16.9507915981735,2.11918703037569,16.8675875799087
