"draw","r","P0","gamma_PrEP","beta_PrEP","prep_cov_per_funding","irr_mean","irr_ci_lower","irr_ci_upper"
133,0.220190469059162,0.129238473214209,0.0284570800375266,3.15218181138861,0.779809530940838,1.47863384182083,1.38781916825322,1.57860427126168
134,0.18207992205862,0.23247755985707,0.0423294959791534,1.67070475512129,0.81792007794138,1.4838346812161,1.39102157444469,1.5867091764397
135,0.308385150798131,0.243840390108526,0.0751967554742927,1.88374304898583,0.691614849201869,1.46651297591265,1.38015035981243,1.55845386624507
136,0.26979914639378,0.348558691218495,0.0940408373588831,1.2481689189206,0.73020085360622,1.47183417650712,1.38343304619589,1.56743546897244
137,0.274241968698334,0.327518420051783,0.089819296299969,1.33648483630776,0.725758031301666,1.47122311381224,1.38314210170064,1.56674979908929
138,0.186425539723132,0.341638884656131,0.063690213462428,1.14294942707803,0.813574460276868,1.48324240898849,1.39056016297927,1.58606357056763
139,0.190042748465203,0.12991924546659,0.0246902104869961,3.01895075403426,0.809957251534797,1.48274927896717,1.39027674577953,1.58522678149079
140,0.29577335139038,0.255738046579063,0.0756404991147187,1.76394003677833,0.70422664860962,1.46825587274956,1.38123858304947,1.5617128048366
141,0.301900044025388,0.354125471580774,0.106910495460747,1.2850405727188,0.698099955974612,1.46740966377449,1.38079371992119,1.56007405104896
142,0.175841813499574,0.352947219237685,0.0620628791003862,1.09212229970165,0.824158186500426,1.48468459307065,1.39145923735726,1.58800850968135
143,0.229070188710466,0.191049546785653,0.0437637557352385,2.15690374633086,0.770929811289534,1.47741954862024,1.38716738641648,1.57669003982182
144,0.172614331706427,0.353792509306222,0.0610696575566334,1.08526298032142,0.827385668293573,1.48512419368342,1.39168803480344,1.58879860197049
145,0.159310862072743,0.32622658174485,0.0519714379688163,1.15834208293782,0.840689137927257,1.48693535315309,1.39319211609617,1.59160307643068
146,0.372816218587104,0.354116385988891,0.13202033196411,1.43037784211374,0.627183781412896,1.45754257851095,1.37385136328443,1.54111807336655
147,0.194300936593208,0.136797075290233,0.0265797998521039,2.88231834106872,0.805699063406792,1.48216860186007,1.38988016729795,1.58436622040992
148,0.297390547522809,0.122785191815346,0.0365151554216591,3.6824057086081,0.702609452477191,1.46803259334302,1.38110446261962,1.56128077017629
149,0.357784897554666,0.166064762044698,0.0594154638756022,2.97874697678975,0.642215102445334,1.45964590193164,1.37524504575134,1.54523480359558
150,0.149117957684211,0.123785448353738,0.0184586332495338,3.01614811179516,0.850882042315789,1.48832220224999,1.39385508994413,1.59332827628402
151,0.222414587100502,0.210425819456577,0.0468017717497194,1.94153169384422,0.777585412899498,1.47832979630074,1.38761087790601,1.57808983122223
152,0.200528096640483,0.166124386712909,0.0333126070731071,2.39196609938911,0.799471903359517,1.48131908768444,1.38945132231457,1.58316139595081
153,0.177452440839261,0.234117000941187,0.0415446332589812,1.64967216388074,0.822547559160739,1.48446518476224,1.39135303195896,1.58762713186846
154,0.126648073201068,0.210840878169984,0.0267025909722495,1.72523204887208,0.873351926798932,1.49137729906989,1.39559691042403,1.59772705808055
155,0.132845236745197,0.127491686884314,0.0169366633271912,2.87351279278413,0.867154763254803,1.49053497941341,1.39518749856044,1.59650365015766
156,0.360844045702834,0.24107541706413,0.0869906288129187,2.06173028566592,0.639155954297166,1.45921836610178,1.37493991884376,1.54439885873035
157,0.353042227507103,0.224426668714732,0.0792320910350477,2.18796927250812,0.646957772492897,1.46030818230631,1.3757742282336,1.54652278568149
158,0.360296711907722,0.289719410017133,0.104384950805018,1.71409718326778,0.639703288092278,1.45929487952445,1.37500135620788,1.54454849505548
159,0.363155922619626,0.12861646424979,0.0467078307387065,3.8784833891162,0.636844077380374,1.45889508613253,1.37469029046612,1.54376646929111
160,0.339973333931994,0.192829504162073,0.0655568894104333,2.49606936353014,0.660026666068006,1.46212977339974,1.37710128261538,1.54985078327291
161,0.202096296939999,0.14894158154726,0.0301005420910882,2.67316135866602,0.797903703060001,1.48110508733813,1.38920106825588,1.58295283916792
162,0.149429451790638,0.225040546339005,0.0336276854701033,1.65966525475799,0.850570548209362,1.48827983007415,1.39383456773766,1.59328730895824
163,0.297629449691158,0.146688098832965,0.0436586981318975,3.08340408015837,0.702370550308842,1.46799960400121,1.3810887639789,1.56121691500311
