"instance","ycat","mean_hiv_prevalence","mean_prop_hivneg_onprep","mean_prop_hivpos_onart","mean_prop_hivpos_vlsupp","mean_prop_onart_vlsupp","mean_prop_infected_diagnosed","mean_prop_diagnosed_onart","mean_prop_condom"
374,1,28.2854246575342,26.1564452878066,63.4332627153959,60.7995875655564,95.8464591329622,89.0558274778522,71.2355555814006,63.7412618851447
374,2,28.0744657534247,20.7326540077017,68.5120986414931,65.0426426868886,94.9301047436525,88.2595175858834,77.6262552566669,63.7580695371895
374,3,27.2998082191781,18.0804279486773,70.4616956897497,67.1217835101926,95.2615790886729,86.6402824348258,81.3307172615657,64.0905015043526
374,4,26.4239452054795,17.2153503154835,71.0907123597331,67.5875612217898,95.0738477447309,85.516253207848,83.1306819330949,64.0400138927723
374,5,25.2926301369863,17.4113923893039,72.5999716635805,69.1427236791654,95.2378634770232,85.4311378310325,84.9800441166817,63.6884488637185
374,6,24.4812328767123,17.7139819074029,72.1561985416396,68.6206622254926,95.1011493389121,84.8619059449673,85.0284735299676,63.5147761620263
374,7,23.8171506849315,17.7260876049191,73.1784102783136,69.3351239385234,94.7490087274585,85.3720140436057,85.7164106148469,64.010815207379
374,8,23.5713424657534,18.2095152294157,71.7837148061341,67.7072589457031,94.3216424588865,84.9816904104454,84.4713905112584,63.7790080489681
374,9,23.2233698630137,18.4904192025904,72.7521539275707,68.7736259644127,94.5323078293733,85.6965763910274,84.8948113792795,63.7961907964387
374,10,23.0357808219178,17.5687857812698,73.1629909547538,69.2503113272454,94.6529078143841,85.9638124164923,85.1081437877125,63.6519484878886
374,11,22.7827671232877,18.3211500815578,73.3311155302428,69.3968941098407,94.6358280337543,86.8401041044252,84.4426420721182,63.4312650179233
374,12,22.5990410958904,18.0426957116626,74.573586654466,70.5944924688203,94.6632232319963,87.4031194115597,85.3191181520737,63.6871948677361
374,13,22.3841643835616,17.3601170437769,74.2370345694124,70.3078284855696,94.7083196204897,87.7225504252826,84.6269910787114,63.6970261251768
374,14,22.2593698630137,17.9864561134274,74.6206050899156,70.7074990582078,94.7567753802824,87.4245049470116,85.3572497643009,63.6165855541087
374,15,22.298602739726,18.2280225527732,73.8409869434333,69.7343782003196,94.4399938753508,87.0375907766258,84.8386361665547,63.4459661085607
374,16,22.1378082191781,17.5698493151078,74.9296980866762,70.8189524498562,94.5127358995492,87.8084748850648,85.3332652434195,63.4619987625316
374,17,21.7986575342466,17.6286837601407,74.8650894325493,71.0375996062098,94.8888968984269,86.8937036672884,86.1581200027723,63.0352454076022
374,18,21.5198356164384,17.8865110431546,74.3643702350641,70.5352489818172,94.8512975128974,87.5521781117321,84.9390028462818,63.4867612540532
374,19,21.2498082191781,17.8422221196849,73.8269644783369,69.9270388568257,94.7170701134047,87.2920376149717,84.5739600975159,63.2397172185788
374,20,21.0962191780822,17.8610343740137,74.2677188910732,70.1607563043415,94.4729823691214,87.2815712626635,85.0875811850333,62.9515573874692
375,1,28.4812602739726,25.9224155601125,62.7056325069076,59.8718347012814,95.4742169988383,88.8933900128798,70.5433786565522,63.5052375282398
375,2,28.6126301369863,19.8351733743499,66.7820090512227,63.204163934261,94.639810105097,88.0543229263639,75.8514465038899,63.993662732307
375,3,28.1246849315068,18.0879736458095,69.8909327216512,66.2809541364589,94.835299337866,86.7622123080565,80.5548763710032,63.9103664263731
375,4,26.8325205479452,18.4261480920943,71.6357868050634,68.2163508730556,95.2244116662213,86.5629652773037,82.7587560680294,63.8748371669165
375,5,26.3706849315069,17.7594282407054,72.2657315906533,68.7612044469648,95.1509553990503,85.1454013493006,84.8743803042361,63.8192487609368
375,6,26.0778082191781,17.7191101010485,72.0488374833405,68.3767355791682,94.9036542239186,84.3098777228498,85.4604516024747,63.8802853606043
375,7,26.2697534246575,17.9870520296724,71.5209432134208,67.7460583731941,94.7236639363218,84.2107020021394,84.9310725329155,64.1734720389151
375,8,26.0189863013699,17.3346664388425,71.3794123379716,67.6725921856133,94.8074414443921,84.4311825234192,84.541485801194,63.890235406544
375,9,26.0371780821918,17.1152218197172,71.4364336247958,67.6462719826519,94.6949451252694,84.3631890030067,84.6765265618059,63.7032644422796
375,10,26.085397260274,17.364672496488,71.8085286127789,67.9418499617068,94.6158087737902,85.7830200990814,83.7117984256714,63.7924290800752
375,11,25.9392054794521,17.2887296272782,73.5476606008823,69.7343975630878,94.8162140382355,86.3094236871553,85.2140143427572,63.7871209271823
375,12,25.8460547945205,17.1738852108898,73.7196228093021,69.811515948423,94.6983121773743,85.9387622541249,85.7808991972929,63.4517961106526
375,13,25.6250136986301,17.5320896994067,74.6968709986945,70.9068798547882,94.9266589816855,87.3776939309376,85.487644847101,63.5835987034353
375,14,25.2242739726027,17.9362007370809,74.7757765892849,70.9327831373684,94.8617090985338,88.1737991274636,84.805185757163,64.049730049302
375,15,25.1799452054795,17.47600656691,74.5371426259868,70.3844698753636,94.430886959072,87.3879065665938,85.2930304479689,63.853402296995
375,16,25.1142191780822,17.4949674874896,73.8991367455417,69.913724582878,94.6081258129214,87.0797461478437,84.8638359677749,63.6437689713578
375,17,25.0993424657534,16.8101245637199,73.3340703130909,69.4589423425747,94.715389195935,86.38686166722,84.8898793221287,63.7363458353122
375,18,25.2214246575342,16.9925016632297,73.1184984394083,68.9992039969503,94.3690200123937,86.5281683395816,84.5015351964095,63.6452577760706
375,19,25.4045479452055,17.7773071396176,73.9939230118609,70.0138279066517,94.6238942277798,86.4369984084257,85.6047938112403,63.417958683635
375,20,25.1159452054795,17.6618572060415,74.3677875567117,70.6310905385957,94.9766487625031,87.3231375174144,85.1639513165555,63.8962533945066
376,1,28.240301369863,26.0246728586035,63.1930584459325,60.3536676523724,95.5045765657718,89.4009826767163,70.6933481820024,63.6823954674707
376,2,28.6038630136986,19.4573205068937,67.6657890173604,63.9821785502025,94.5522590292314,87.7799631681616,77.0896712946978,63.9169346164027
376,3,28.0412876712329,18.2734053881879,70.2854276915096,66.8191435015042,95.0696884195497,87.4519934103427,80.3703165206773,63.7424176555363
376,4,27.1541369863014,17.6969084277632,71.4027040074969,67.8263533116589,94.9904703946077,87.0385762192627,82.0368451857942,63.7820420540498
376,5,26.473698630137,17.8101814682889,72.9037929699555,69.3959382018097,95.1887265531911,86.1810673717084,84.5949232867154,63.809914812513
376,6,26.1695890410959,17.6443617677839,72.2730627790625,68.6940552445795,95.0486544290455,85.4289126566349,84.5993155979097,63.9614577311983
376,7,25.705095890411,18.0025926154157,72.2446231100122,68.5456947702372,94.8810961074113,85.331888218109,84.6658376846726,63.8065754192996
376,8,25.3104657534247,17.9625134314891,73.3694897841482,69.7697295282118,95.0934090583228,86.0773836508008,85.2368187276902,63.9217327752944
376,9,24.9349589041096,18.5484143223643,74.0035883690105,70.2029084229089,94.8633259666182,86.7848591153857,85.2724855971406,63.7780682758412
376,10,24.5112328767123,18.5017085348185,74.3378508954465,70.4735745584394,94.8024919440772,87.4643730911739,84.9929371933411,63.5623449518446
376,11,24.3186849315068,17.9640031492895,75.1145912202724,71.23456742751,94.8367041935393,87.8730937865475,85.4794645962265,63.757527546147
376,12,23.6805479452055,17.6172565008591,75.6259685881369,71.6592477219899,94.7547542569995,88.5313060439022,85.4231484253365,63.7396926663814
376,13,23.622301369863,18.1701806734227,75.1913899980453,71.6007221047282,95.224921688851,87.1470681560048,86.2820402277332,63.7373721631216
376,14,23.2102465753425,18.1844191439155,74.8943969505161,70.8648194361298,94.6210794115463,87.6955708229788,85.4028733245815,63.5823699122147
376,15,22.9108767123288,18.3045163902515,75.0418804161192,71.1124881440885,94.7639787772436,87.3258291966174,85.9339785148425,63.4584245939513
376,16,22.7295890410959,17.8992800032308,74.8671957619277,70.8455846337533,94.6291917823914,87.0628541726274,85.9942204476694,63.4742045459318
376,17,22.1972328767123,18.0501705335966,74.8557317579242,70.679068410358,94.4213237169506,87.7160793805227,85.3388179975522,63.5362236342081
376,18,21.7640273972603,17.7515094510257,75.4727814176287,71.3197668320368,94.4979781139188,88.6099172855369,85.1741256964076,63.3326218821431
376,19,21.0549315068493,17.1655746332948,75.1545185801632,70.9633280446701,94.4242167144551,88.7360179554072,84.6946953587334,63.4629324506351
376,20,20.8355068493151,16.8358776707016,75.3145531840386,71.1075450921955,94.4155441531138,88.2334964339665,85.3594421241698,63.3200221896688
377,1,28.0138904109589,25.5356892921803,63.0143006559052,60.2858911670293,95.6668250716579,89.8771424116919,70.1081087391961,63.4082807854246
377,2,27.513397260274,20.3263186590948,67.9642425290662,64.4892328898243,94.8829303933394,89.2539050815333,76.1531633251545,63.5435511716784
377,3,26.4425479452055,18.3009686941105,70.1361854194432,66.6609168698946,95.0453891379553,87.8567572084531,79.8323387328394,63.4650735291486
377,4,25.0127397260274,17.393199476573,71.790804735343,68.2773795978104,95.1072903530837,87.2390455430111,82.2921401298926,63.4064702856388
377,5,24.053397260274,16.6229320654733,72.4953045609558,69.0160373893546,95.2006042820648,85.7954926438321,84.497281503631,63.2295397909335
377,6,23.1776438356164,16.6250917412131,74.3704507652683,70.6985885082842,95.0593491338912,86.543872344911,85.9284413187003,63.337962067462
