transmission.probability.insertive.infected,prop.casual.sex.acts,prop.steady.sex.acts,prep.bl.use.prop,transmission.probability.receptive.infected,prep.fraction.sd
0.00194332004520299,0.12413912232398985,0.19856270609283294,0.24758143296570068,0.00015003011855847217,0.6108222307257685
0.0016260005746974748,0.08726474594693713,0.19728499481227818,0.10769820267269814,0.00033125084855446574,0.5366084645155457
0.001634719849701022,0.12647997646047526,0.19694232165627468,0.22919921432482598,0.00016270105255271794,0.4728657351791254
0.001680639095595848,0.0837545225506746,0.21635667502237454,0.12047690137102793,0.00033671279912640727,0.744381583584529
0.0015792557640268772,0.13052810881247656,0.2466394516143166,0.33308669775007027,0.0002139633157221643,0.10095910571158831
0.0016778632767343446,0.12305684253788553,0.15359500377528423,0.18205483111316167,0.0002141050556244739,0.39060797911284784
0.0015981763114403472,0.10047384776353874,0.24751527490659048,0.264894907805067,0.0002250943865718253,0.13289559053588726
0.0014872054493499734,0.10474971498120035,0.2573104248889167,0.16664522600985118,0.0001838960899863934,0.4156285671692365
0.0015849221906583614,0.128465234416769,0.20809272699161202,0.22890855996364312,0.00021596815553247576,0.3939506164134082
0.0019196267622566662,0.11716139045350488,0.2642011913883951,0.3209017537324634,0.0001354647337565343,0.44016167926745187
0.0015526716628817764,0.09499846066383487,0.23416620717976477,0.13166622425344998,0.0002724996643339462,0.534761533132444
0.0015635373116093705,0.11815875800277822,0.1959243333914517,0.13102098734310696,0.00011688242109055435,0.7697270766615671
0.001672948659585467,0.0999133715425348,0.17754722961101171,0.16364565286233473,0.0002798850692609156,0.3479345143358341
0.0014211377251034459,0.1176212228744972,0.27014182005666565,0.21277131935634735,0.00039514197312798325,0.44815906802067246
0.0016005938226686524,0.10358387243430758,0.22892646285998075,0.25773235919338433,0.0002615203572155683,0.2435766441558422
0.00175139651491142,0.12122626288122394,0.19874274376973222,0.2049966520972753,0.000164426557432838,0.584930136911421
0.0018675549992104982,0.10005681653246136,0.19146396972636376,0.2173436277393221,0.00024947114381184137,0.4849360129491738
0.0017974787905163155,0.1169312236553722,0.14662901080930943,0.281996852257969,0.00033793564281921673,0.12155502415801057
0.001636871221108985,0.09168997263894607,0.23276020633277789,0.20230568910718838,0.00023890006452997013,0.3846236454962248
0.001679067139878979,0.11581820785785185,0.22161329755947579,0.2057796284759607,0.00035738438755867735,0.7227985818355553
0.0015659626087031453,0.11694286160249083,0.27051526698919853,0.17732571124444968,0.00014766087872926495,0.8228804011387141
0.0015871778295349782,0.10214734389005709,0.21854700410895467,0.23168579222468694,0.00027067367796992844,0.24031924483181277
0.0016560555936260357,0.11967364653336403,0.1787666531016731,0.18497483601883602,0.0003509903477761129,0.8009916203617408
0.0014199695559434136,0.11379896857484956,0.2420071417400939,0.16569636769165438,0.00019921956386225836,0.33861479708459374
0.0016770387641025556,0.12490949855452435,0.22295644090220912,0.28543802692637366,0.00020493263884149973,0.23849019595577078
0.0018653598060056691,0.10389269704834354,0.22578826316541453,0.28702586724403534,0.00015504604046207148,0.12176181285098729
0.0017376857636410832,0.1161705258587987,0.19222145404301189,0.19649282401709348,0.00013116169853354814,0.7872376631025092
